id,type,host_Z,visits_needed,visits_done,started,completed
518,Ia,20.255,1,1,1,1
519,Ia,21.394,1,1,1,1
520,Ia,20.571,1,1,1,1
521,Ia,23.967,15,3,1,0
522,Ia,19.708,1,1,1,1
523,Ia,19.576,1,0,0,0
524,Ia,22.340,1,1,1,1
525,Ia,20.228,1,1,1,1
526,Ia,21.576,1,0,0,0
527,Ia,21.510,1,1,1,1
528,Ia,22.722,2,2,1,1
529,Ia,23.042,3,0,0,0
530,Ia,20.512,1,0,0,0
531,Ia,19.913,1,0,0,0
532,Ia,18.117,1,0,0,0
533,Ia,21.856,1,1,1,1
534,Ia,22.189,1,1,1,1
536,Ia,20.219,1,1,1,1
537,Ia,25.206,139,0,0,0
538,Ia,23.161,4,4,1,1
539,Ia,21.273,1,1,1,1
540,Ia,23.495,6,3,1,0
541,Ia,23.269,4,4,1,1
542,Ia,19.209,1,0,0,0
543,Ia,22.804,2,2,1,1
544,Ia,21.068,1,1,1,1
545,Ia,20.577,1,1,1,1
546,Ia,21.330,1,1,1,1
547,Ia,21.214,1,1,1,1
548,Ia,19.518,1,0,0,0
549,Ia,24.715,57,0,0,0
550,Ia,25.316,171,23,1,0
551,Ia,19.937,1,0,0,0
552,Ia,20.800,1,1,1,1
553,Ia,22.116,1,1,1,1
554,Ia,21.780,1,0,0,0
555,Ia,24.622,48,0,0,0
556,Ia,23.621,8,0,0,0
557,Ia,21.853,1,1,1,1
558,Ia,20.154,1,0,0,0
559,Ia,20.855,1,1,1,1
560,Ia,20.441,1,1,1,1
561,Ia,20.908,1,0,0,0
562,Ia,21.934,1,1,1,1
564,Ia,21.428,1,1,1,1
565,Ia,20.307,1,1,1,1
567,Ia,22.272,1,0,0,0
568,Ia,22.141,1,0,0,0
569,Ia,22.078,1,1,1,1
570,Ia,23.217,4,4,1,1
573,Ia,21.831,1,1,1,1
574,Ia,22.287,1,0,0,0
575,Ia,20.675,1,0,0,0
577,Ia,20.917,1,0,0,0
578,Ia,21.958,1,0,0,0
580,Ia,20.146,1,1,1,1
581,Ia,22.780,2,0,0,0
582,Ia,23.189,4,0,0,0
583,Ia,20.718,1,1,1,1
585,Ia,22.128,1,1,1,1
586,Ia,20.908,1,1,1,1
587,Ia,21.256,1,1,1,1
588,Ia,22.210,1,1,1,1
589,Ia,21.681,1,1,1,1
590,Ia,19.832,1,1,1,1
591,Ia,23.809,11,9,1,0
592,Ia,22.615,2,2,1,1
593,Ia,21.594,1,0,0,0
594,Ia,21.740,1,0,0,0
595,Ia,24.997,94,0,0,0
597,Ia,22.750,2,0,0,0
598,Ia,22.225,1,0,0,0
599,Ia,23.865,12,0,0,0
600,Ia,22.758,2,2,1,1
601,Ia,24.362,30,18,1,0
602,Ia,20.658,1,1,1,1
603,Ia,23.961,15,15,1,1
604,Ia,22.641,2,2,1,1
605,Ia,21.548,1,1,1,1
606,Ia,21.599,1,0,0,0
607,Ia,23.341,5,5,1,1
608,Ia,20.558,1,1,1,1
609,Ia,22.120,1,1,1,1
610,Ia,21.506,1,1,1,1
611,Ia,22.905,3,3,1,1
612,Ia,21.869,1,1,1,1
613,Ia,19.917,1,1,1,1
614,Ia,22.071,1,0,0,0
615,Ia,21.937,1,1,1,1
616,Ia,22.508,1,1,1,1
617,Ia,21.936,1,1,1,1
618,Ia,23.027,3,0,0,0
619,Ia,24.944,86,0,0,0
620,Ia,25.163,130,18,1,0
621,Ia,22.169,1,0,0,0
623,Ia,19.703,1,1,1,1
624,Ia,19.549,1,1,1,1
625,Ia,22.091,1,0,0,0
626,Ia,22.318,1,1,1,1
627,Ia,24.809,68,0,0,0
628,Ia,21.346,1,1,1,1
629,Ia,20.992,1,0,0,0
630,Ia,20.732,1,1,1,1
631,Ia,20.105,1,1,1,1
632,Ia,24.168,21,0,0,0
634,Ia,22.888,3,3,1,1
635,Ia,20.961,1,0,0,0
636,Ia,22.186,1,1,1,1
637,Ia,20.291,1,1,1,1
638,Ia,24.743,59,4,1,0
639,Ia,23.188,4,4,1,1
640,Ia,22.396,1,1,1,1
642,Ia,20.862,1,1,1,1
643,Ia,21.003,1,1,1,1
