field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,398395,240.85775,55.71835,0.3601,21.414
ELAIS-N1,3108024,240.11881,53.02876,0.7427,21.418
ELAIS-N1,1674269,242.51104,53.78784,0.8118,21.848
ELAIS-N1,1869624,242.41437,54.46172,1.0999,25.458
ELAIS-N1,1838140,241.80058,55.29978,1.4966,25.552
ELAIS-N1,2081751,241.62729,54.60463,1.3016,24.777
ELAIS-N1,2418753,241.92357,54.48526,0.5408,21.123
ELAIS-N1,255296,241.17216,54.58129,0.9339,27.901
ELAIS-N1,1363396,242.71464,54.49789,1.8338,25.993
ELAIS-N1,2850732,243.85294,52.64694,0.5146,22.135
ELAIS-N1,2415238,243.63346,54.52183,0.4494,25.346
ELAIS-N1,226312,243.86423,53.61961,0.5781,24.703
ELAIS-N1,582996,242.37977,55.16805,1.1475,24.906
ELAIS-N1,1699790,241.67712,54.61678,0.5271,27.489
ELAIS-N1,2759273,242.39251,52.84723,0.5416,21.682
ELAIS-N1,586362,243.57096,53.75241,0.8203,20.869
ELAIS-N1,784021,243.29869,55.78974,0.5429,25.191
ELAIS-N1,2401185,242.95106,54.85551,1.0984,22.806
ELAIS-N1,93970,243.61351,52.62314,0.2525,23.358
ELAIS-N1,2909423,244.59797,56.06402,0.2801,18.955
ELAIS-N1,942184,240.53772,54.33946,0.5829,21.469
ELAIS-N1,2813662,242.67986,54.34165,1.5227,24.704
ELAIS-N1,1720663,242.17634,54.70039,0.8024,22.819
ELAIS-N1,2151606,241.41443,55.93302,0.3927,27.454
ELAIS-N1,822657,245.81750,54.11167,0.2722,24.554
ELAIS-N1,610553,243.32488,54.22083,0.4437,24.876
ELAIS-N1,2906944,241.32957,54.83227,1.5343,25.752
ELAIS-N1,2669563,242.29505,53.95686,0.8052,22.210
ELAIS-N1,1891326,245.49997,54.50820,0.6998,24.316
ELAIS-N1,1392195,242.45299,55.89732,0.1753,20.397
ELAIS-N1,872737,243.82119,55.20321,0.3322,20.826
ELAIS-N1,893101,242.68477,54.53314,0.8501,26.189
ELAIS-N1,713061,243.95533,54.19777,0.8315,22.965
ELAIS-N1,2141328,239.98504,55.13221,0.5785,21.930
ELAIS-N1,3231492,239.35430,55.31200,0.4553,25.836
ELAIS-N1,2512547,239.83431,54.80747,0.5553,22.841
ELAIS-N1,1997696,243.13215,54.17186,0.8875,21.419
ELAIS-N1,2250293,241.58920,54.95435,0.5775,22.528
ELAIS-N1,178630,242.57533,52.54896,0.4045,23.430
ELAIS-N1,517901,240.82698,53.60867,0.4338,20.846
ELAIS-N1,2038876,244.10624,53.05023,0.7240,24.037
ELAIS-N1,1827036,241.13388,55.82645,0.7759,23.552
ELAIS-N1,1909014,243.74497,54.24886,0.5343,20.263
ELAIS-N1,2129769,241.23581,52.92292,0.4151,25.382
ELAIS-N1,598455,240.06128,53.09170,0.2941,25.927
ELAIS-N1,578644,242.62394,53.35736,0.4534,20.709
ELAIS-N1,2149806,242.66349,54.75968,0.9878,24.381
ELAIS-N1,309238,244.31520,55.35907,0.4691,21.181
ELAIS-N1,727078,243.40089,54.19722,1.0814,22.574
ELAIS-N1,343311,242.46293,52.39348,0.6687,23.027
ELAIS-N1,2655842,239.76409,54.43701,0.7878,22.995
ELAIS-N1,3194389,243.15666,55.09841,0.6765,22.034
ELAIS-N1,461012,243.09232,54.22201,0.9318,24.398
ELAIS-N1,1478923,241.59261,54.00466,0.6937,26.583
ELAIS-N1,586639,243.19686,54.88241,0.8854,23.265
ELAIS-N1,2715732,245.55051,54.42231,0.5581,21.890
ELAIS-N1,2666793,241.42754,53.90988,0.7632,24.958
ELAIS-N1,1302710,241.81735,54.17076,2.1227,25.752
ELAIS-N1,825695,241.19684,55.08517,0.4734,24.617
ELAIS-N1,2061457,240.27244,56.05316,0.5309,24.234
ELAIS-N1,1414343,242.91281,56.05299,0.7941,25.919
ELAIS-N1,1959353,242.59807,53.30887,0.3960,25.021
ELAIS-N1,391212,243.24405,53.19987,0.5593,24.735
ELAIS-N1,2957410,243.27434,55.62196,0.9475,23.312
ELAIS-N1,550178,244.62479,53.17947,1.3660,24.398
ELAIS-N1,1047638,245.60665,53.73204,0.2797,20.707
ELAIS-N1,1710687,245.12652,53.53651,0.5410,23.777
