field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,2703755,244.06653,54.95227,1.6786,25.676
ELAIS-N1,3196284,242.93819,54.50884,1.9058,27.310
ELAIS-N1,3094140,240.98841,54.96424,0.3412,22.458
ELAIS-N1,508258,245.21326,55.19173,0.7749,23.739
ELAIS-N1,1629464,244.60868,56.08834,1.5259,26.504
ELAIS-N1,2500436,240.67236,53.99281,0.9055,24.112
ELAIS-N1,2441117,242.80586,53.93276,0.7755,23.746
ELAIS-N1,448810,242.90946,53.03074,0.4275,22.524
ELAIS-N1,1054319,242.74053,55.40712,0.8917,23.622
ELAIS-N1,1542560,240.03466,54.85644,1.6360,25.545
ELAIS-N1,434709,241.33712,54.18491,0.5389,22.730
ELAIS-N1,793506,245.60007,55.10794,0.6732,23.465
ELAIS-N1,1592464,243.49396,54.47286,1.4144,25.873
ELAIS-N1,2690442,239.78155,54.12489,1.7083,25.322
ELAIS-N1,1702881,240.50823,54.01683,1.1131,24.740
ELAIS-N1,481908,242.43095,55.14385,1.7159,25.905
ELAIS-N1,2923025,240.48970,53.34371,0.6504,23.042
ELAIS-N1,2475375,241.44881,56.04057,0.6991,23.578
ELAIS-N1,1046143,243.45577,52.81390,1.3111,25.546
ELAIS-N1,125325,241.63776,55.92114,1.3831,25.589
ELAIS-N1,3079302,242.09357,52.59693,0.8342,24.022
ELAIS-N1,3326171,243.35964,55.46692,1.1557,24.729
ELAIS-N1,1947553,241.79082,55.92114,1.2237,24.560
ELAIS-N1,2505871,241.12562,54.90435,0.8973,23.582
ELAIS-N1,536017,240.93564,54.84446,1.7515,26.697
ELAIS-N1,899264,241.37601,55.49084,1.8941,26.745
ELAIS-N1,2600098,241.80352,54.37690,0.9539,24.242
ELAIS-N1,974622,242.35905,54.80851,0.8014,23.363
ELAIS-N1,1387018,242.07648,54.01683,1.2446,24.782
ELAIS-N1,1267469,245.04518,55.34730,0.9904,23.868
ELAIS-N1,2795810,241.82067,53.93276,2.3651,-9.000
ELAIS-N1,1660976,243.21765,52.99461,1.2787,24.779
ELAIS-N1,495426,243.48294,54.97622,1.2550,24.727
ELAIS-N1,798137,240.90895,52.98257,1.3297,24.530
ELAIS-N1,950971,242.38702,54.02884,1.8449,26.193
ELAIS-N1,2959063,241.44901,55.55063,1.0473,23.917
ELAIS-N1,2117009,241.17693,52.81390,1.5887,25.374
ELAIS-N1,1518384,239.05321,54.89238,0.8814,24.346
ELAIS-N1,1486752,243.37030,53.87270,1.9193,27.084
ELAIS-N1,877640,241.41519,55.96892,1.3566,24.657
ELAIS-N1,1649474,241.15869,54.07687,0.8311,23.860
ELAIS-N1,175869,240.68737,55.84946,0.9710,23.944
ELAIS-N1,2490023,242.02662,55.58651,0.1386,20.351
ELAIS-N1,1038788,242.66723,55.50280,0.7880,23.588
ELAIS-N1,1697001,242.51196,53.58426,1.5655,26.423
ELAIS-N1,2402425,244.01307,53.57223,0.3168,22.148
ELAIS-N1,1424684,243.00000,55.74191,1.4275,25.029
ELAIS-N1,2353585,243.01195,55.04807,1.4452,25.334
ELAIS-N1,3282057,244.27127,53.82464,1.5263,25.569
ELAIS-N1,1849670,241.57817,54.59277,1.9544,26.985
ELAIS-N1,617459,240.07508,55.23961,1.7409,25.977
ELAIS-N1,1608286,240.99136,55.07202,1.5677,25.343
ELAIS-N1,1927226,241.93727,55.43104,2.3877,-9.000
ELAIS-N1,2922950,242.75111,53.45197,0.7822,23.790
ELAIS-N1,110747,239.57725,55.01215,0.4000,22.193
ELAIS-N1,253623,242.17283,55.16779,1.6050,25.507
ELAIS-N1,1613530,242.32716,54.92831,1.0827,24.394
ELAIS-N1,1031852,240.04323,53.72851,0.9136,23.806
ELAIS-N1,2613972,239.89923,53.69245,0.9565,23.934
ELAIS-N1,2239785,244.09348,53.07891,0.5552,22.537
ELAIS-N1,1358552,240.67330,55.64628,1.2178,24.880
ELAIS-N1,569543,242.06111,55.65824,1.7117,26.038
ELAIS-N1,1086446,245.01009,55.52672,0.8451,23.846
ELAIS-N1,18676,242.28409,54.24492,2.1494,-9.000
ELAIS-N1,1601295,241.72941,55.50280,1.3255,24.792
ELAIS-N1,1949458,239.50907,54.17291,1.4295,24.910
ELAIS-N1,2395095,245.60423,55.45496,0.8238,24.102
ELAIS-N1,206613,245.72251,54.74860,0.8057,23.811
ELAIS-N1,1438756,241.56577,54.53282,0.4488,22.363
ELAIS-N1,2801379,240.96259,53.99281,0.5540,22.685
ELAIS-N1,392293,240.13675,53.03074,0.9254,23.905
ELAIS-N1,839364,242.40608,54.47286,1.2427,25.584
ELAIS-N1,1571392,241.95165,54.22092,1.4740,26.661
ELAIS-N1,286578,240.66241,54.52083,0.4188,22.360
ELAIS-N1,2570827,244.21800,53.60830,1.1366,24.715
