field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,1054318,242.34099,55.17883,1.3449,22.893
ELAIS-N1,2828317,241.58818,52.79080,1.3799,23.783
ELAIS-N1,74677,243.13705,56.49379,1.1646,23.184
ELAIS-N1,1512467,245.79066,53.97989,1.0708,23.381
ELAIS-N1,895850,241.46726,54.43483,1.0453,22.596
ELAIS-N1,1691373,244.83354,54.40127,1.0017,21.743
ELAIS-N1,1331156,243.39314,55.53657,1.2364,22.796
ELAIS-N1,2661481,239.67681,55.81068,0.9332,21.185
ELAIS-N1,463829,245.84988,55.04879,1.0155,23.170
ELAIS-N1,1976296,239.41271,54.95336,0.1575,21.665
ELAIS-N1,853879,241.98694,53.62119,0.8258,21.051
ELAIS-N1,2742393,239.40099,55.11336,0.5527,20.754
ELAIS-N1,1153336,244.22299,54.68780,0.6833,21.567
ELAIS-N1,924059,240.88873,54.45989,0.7652,22.345
ELAIS-N1,1939033,241.52327,54.48865,1.2296,22.623
ELAIS-N1,1769672,242.59576,52.79022,1.2498,23.344
ELAIS-N1,481826,241.02546,52.75452,1.0436,23.154
ELAIS-N1,1898017,244.75271,53.66768,1.2961,23.849
ELAIS-N1,1330454,241.11336,54.41916,0.5296,20.634
ELAIS-N1,3247864,244.62757,55.04907,0.7598,22.650
ELAIS-N1,917542,242.95915,54.76135,1.4490,23.661
ELAIS-N1,470996,242.25569,52.91535,0.7946,21.366
ELAIS-N1,1589716,242.00065,54.18089,1.5170,23.075
ELAIS-N1,2338822,244.40755,54.80839,0.9884,23.379
ELAIS-N1,2649381,242.09012,55.19241,0.8399,23.264
ELAIS-N1,869200,243.55477,56.30953,0.5926,22.092
ELAIS-N1,2391968,244.22429,54.23564,1.0283,22.896
ELAIS-N1,984860,244.53953,53.25901,0.8815,23.139
ELAIS-N1,2138915,240.52048,53.04336,0.8377,23.113
ELAIS-N1,2129645,239.85607,55.35139,0.5808,20.459
ELAIS-N1,2051929,246.01328,54.53260,1.4312,23.024
ELAIS-N1,2498917,243.19611,56.05243,0.6009,20.376
ELAIS-N1,2534104,244.68460,54.28664,0.8789,21.881
ELAIS-N1,1452784,239.95701,53.69414,0.6235,22.251
ELAIS-N1,140003,243.71086,55.64544,0.6865,21.815
ELAIS-N1,671923,239.67316,55.57278,1.2631,23.560
ELAIS-N1,2188123,242.15187,54.26681,1.0858,22.831
ELAIS-N1,2574951,240.10068,53.54649,1.0917,23.156
ELAIS-N1,3312232,242.05584,54.47620,1.6676,23.690
ELAIS-N1,2800065,241.95913,54.59120,0.8619,21.857
ELAIS-N1,516798,242.59877,53.33108,1.8239,23.749
ELAIS-N1,1658728,243.39681,54.77289,2.4131,23.970
ELAIS-N1,1903748,241.28621,53.87138,1.1752,23.716
ELAIS-N1,808605,241.25080,54.15196,1.0017,23.107
ELAIS-N1,1419359,244.52586,53.53497,1.2737,22.558
ELAIS-N1,2252344,243.70087,52.99693,0.6765,20.826
ELAIS-N1,1164440,239.74290,55.81697,1.0608,23.304
ELAIS-N1,1757374,241.31771,55.26051,1.4124,23.694
ELAIS-N1,2987634,244.50720,53.30783,1.2225,23.157
ELAIS-N1,1955208,244.30391,55.46856,1.3858,23.969
ELAIS-N1,3229982,245.42909,54.83452,1.3641,23.870
ELAIS-N1,2713599,241.83045,54.76108,0.3679,22.721
ELAIS-N1,448407,241.88131,55.50514,0.9961,22.955
ELAIS-N1,1464698,240.01408,53.11511,0.4826,20.521
ELAIS-N1,3070211,242.64420,55.21370,0.4834,22.922
ELAIS-N1,2760309,244.79127,55.32597,0.7367,21.342
ELAIS-N1,783649,242.45997,53.81242,0.7309,20.021
ELAIS-N1,2108739,245.52738,54.63130,0.7315,20.738
ELAIS-N1,2870680,242.31001,55.57743,1.1080,22.503
ELAIS-N1,2564851,242.11011,56.67171,0.5622,21.925
ELAIS-N1,351441,240.38298,53.74227,0.9738,22.122
ELAIS-N1,3137938,242.65999,54.72478,0.5566,19.747
ELAIS-N1,3043742,244.01932,54.14713,0.9340,21.569
ELAIS-N1,49504,244.04080,54.81935,0.5463,20.576
ELAIS-N1,952744,243.22820,55.56298,0.4771,19.232
ELAIS-N1,1424432,245.94863,54.80939,1.0390,23.027
ELAIS-N1,1193799,243.51093,56.27921,0.7227,23.442
ELAIS-N1,14756,241.02563,53.09236,0.4011,20.261
