field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,1593548,242.59801,53.86068,0.7036,26.480
ELAIS-N1,1169814,240.58934,56.07640,0.8254,25.768
ELAIS-N1,697431,243.68089,54.08887,0.6806,26.101
ELAIS-N1,1597797,241.59789,53.69245,0.6986,26.198
ELAIS-N1,3292057,243.40181,54.11289,0.9132,26.348
ELAIS-N1,1663921,241.55462,52.64516,0.7181,25.907
ELAIS-N1,2035929,243.99190,54.18491,0.9164,25.925
ELAIS-N1,1628940,241.66334,55.16779,0.9271,25.986
ELAIS-N1,1405577,243.86778,52.99461,0.4969,25.300
ELAIS-N1,3309699,241.58131,55.11991,0.9310,25.378
ELAIS-N1,704266,242.98815,54.76058,0.7138,25.738
ELAIS-N1,1866367,241.59736,55.70605,0.9699,26.110
ELAIS-N1,2658014,241.96392,56.27934,0.4547,26.093
ELAIS-N1,1572412,243.86958,53.57223,0.7179,25.906
ELAIS-N1,311329,243.43038,54.31692,0.5056,25.342
ELAIS-N1,2369992,241.97472,54.65271,1.2646,26.843
ELAIS-N1,819817,242.61309,53.80061,0.5510,26.790
ELAIS-N1,1486021,242.65692,54.68867,1.1559,26.638
ELAIS-N1,738107,242.65337,55.99280,0.2462,23.802
ELAIS-N1,630410,242.48245,55.31140,0.9168,26.229
ELAIS-N1,1327482,244.59253,54.24492,0.4955,25.699
ELAIS-N1,406874,243.00000,53.94477,0.5217,25.442
ELAIS-N1,2348915,241.57664,54.32891,1.0081,26.724
ELAIS-N1,505033,242.70631,52.95848,0.7053,25.714
ELAIS-N1,1497099,242.44256,55.16779,1.0147,25.428
ELAIS-N1,491093,242.28198,54.05285,1.1945,25.857
ELAIS-N1,1497814,242.80606,52.77775,1.2953,25.516
ELAIS-N1,221289,242.20844,53.95678,1.5904,25.984
ELAIS-N1,3196307,241.61808,54.16090,0.4045,24.973
ELAIS-N1,1460370,242.05814,55.08399,1.3709,26.365
ELAIS-N1,2487699,244.09005,52.95848,0.8911,25.357
ELAIS-N1,2824376,243.17452,55.31140,0.7612,25.178
ELAIS-N1,3257516,245.00333,55.19173,0.8556,25.870
ELAIS-N1,2819794,238.98395,53.82464,0.7125,24.939
ELAIS-N1,1614622,244.19391,53.39183,0.7989,24.211
ELAIS-N1,1869717,240.38226,55.88530,0.6346,24.964
ELAIS-N1,2453707,243.59752,53.42792,1.0321,25.572
ELAIS-N1,25475,239.05051,54.61675,0.5172,24.996
ELAIS-N1,335284,244.17222,55.17976,0.2536,23.767
ELAIS-N1,2883199,239.54400,53.70447,0.8440,25.271
ELAIS-N1,1522343,243.14562,53.37980,0.9555,25.700
ELAIS-N1,2209051,244.83323,54.14890,0.9160,25.455
ELAIS-N1,875464,243.07879,54.19691,0.7294,25.553
ELAIS-N1,3131970,242.14286,54.16090,1.0322,25.720
ELAIS-N1,1261158,244.22583,53.84867,0.9876,25.622
ELAIS-N1,155224,241.72782,53.59628,0.5032,23.609
ELAIS-N1,1603241,242.93244,52.83800,0.6179,25.162
ELAIS-N1,1709454,239.49382,55.28747,0.4650,25.020
ELAIS-N1,2729456,243.13279,54.60476,0.6753,25.040
ELAIS-N1,688566,244.96037,53.35574,0.5923,25.354
ELAIS-N1,3326875,242.23120,54.82049,1.0374,26.628
ELAIS-N1,1169327,242.12913,53.75254,1.3146,26.070
ELAIS-N1,1569387,242.02542,54.85644,1.0827,26.118
ELAIS-N1,1943820,241.91369,56.30320,0.7497,24.907
ELAIS-N1,2739998,241.27270,52.87415,0.7036,25.459
ELAIS-N1,1065551,241.40810,54.77256,1.6263,26.309
ELAIS-N1,534608,242.70940,53.66841,0.7109,24.974
ELAIS-N1,1142275,244.50725,53.94477,0.5227,24.733
ELAIS-N1,1533979,242.12533,54.53282,1.2089,25.740
ELAIS-N1,891915,245.13544,54.43688,0.3477,23.390
ELAIS-N1,3294116,243.57213,54.77256,0.9963,25.986
ELAIS-N1,3107383,241.03831,53.93276,0.9807,25.731
