field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,1142154,241.94201,52.92234,0.9631,23.896
ELAIS-N1,1952216,239.56630,55.09596,0.3891,22.056
ELAIS-N1,2793514,243.88530,55.94503,0.5724,22.792
ELAIS-N1,449910,243.68270,55.76581,0.4776,22.459
ELAIS-N1,175420,243.16595,54.76058,0.2805,21.833
ELAIS-N1,1440872,241.26164,55.10794,0.7747,23.807
ELAIS-N1,1223534,244.45597,53.59628,0.8693,23.449
ELAIS-N1,2562802,243.11473,55.43104,0.6018,22.881
ELAIS-N1,2111593,242.06036,54.42489,0.7866,23.292
ELAIS-N1,2557996,243.40839,56.29127,0.8883,23.834
ELAIS-N1,3332408,243.95376,55.64628,0.6368,23.625
ELAIS-N1,675985,240.49631,53.84867,0.7516,23.666
ELAIS-N1,1351298,244.51640,56.08834,0.7286,23.227
ELAIS-N1,1674705,241.26363,54.88040,0.5067,22.524
ELAIS-N1,3127729,244.67988,55.77776,0.2540,21.758
ELAIS-N1,1645485,239.37852,55.00017,0.3543,22.471
ELAIS-N1,857786,241.64172,52.71749,0.8412,23.539
ELAIS-N1,897060,243.48320,54.77256,1.0787,23.872
ELAIS-N1,3327916,244.21507,52.98257,0.8855,23.889
ELAIS-N1,779036,242.11747,54.73661,0.7122,23.454
ELAIS-N1,1419468,241.61102,53.10299,0.5172,22.568
ELAIS-N1,624309,239.76539,55.14385,1.0594,23.946
ELAIS-N1,3334164,243.89971,54.23292,0.3572,21.782
ELAIS-N1,2759498,241.98426,55.37123,0.6378,23.276
ELAIS-N1,383067,244.19887,53.00665,0.6471,23.527
ELAIS-N1,2502941,241.94976,54.18491,0.3966,22.125
ELAIS-N1,733341,242.28439,53.77658,0.7348,23.661
ELAIS-N1,1875588,243.88500,55.20370,0.3775,21.999
ELAIS-N1,3182458,240.68807,53.27151,0.3883,22.172
ELAIS-N1,1087171,243.15308,53.81263,0.6266,23.031
ELAIS-N1,546949,240.84702,56.13610,0.6833,23.198
ELAIS-N1,122221,241.42638,55.99280,0.8852,23.295
ELAIS-N1,963172,243.89752,56.42252,0.5894,23.413
ELAIS-N1,728314,241.64640,53.70447,0.4933,22.454
ELAIS-N1,20438,242.19223,56.30320,1.0119,23.986
ELAIS-N1,721813,243.90743,56.32707,1.0171,23.844
ELAIS-N1,2726493,242.47476,53.16318,0.9583,23.850
ELAIS-N1,2016919,244.46798,53.53616,0.8110,23.730
ELAIS-N1,32145,239.84211,53.58426,0.7510,23.268
ELAIS-N1,1551452,240.00477,53.48806,0.1707,20.998
ELAIS-N1,967448,242.36026,54.06486,0.8194,23.978
ELAIS-N1,2965134,240.69384,55.14385,0.9895,23.542
ELAIS-N1,1826401,241.24961,52.45220,0.7146,23.411
ELAIS-N1,3107043,242.82496,54.18491,0.4536,22.247
ELAIS-N1,1912099,243.80399,54.53282,0.7577,23.414
ELAIS-N1,3183604,239.54854,54.12489,0.6975,23.073
ELAIS-N1,3031777,243.85115,55.16779,0.9712,23.964
ELAIS-N1,468412,239.20664,54.67669,0.6803,23.127
ELAIS-N1,1982911,239.89943,53.62033,0.5037,22.654
ELAIS-N1,642864,242.75300,56.21966,0.5756,22.810
ELAIS-N1,2183431,240.70394,53.10299,0.6909,23.287
ELAIS-N1,2957373,243.69254,55.17976,0.6456,23.280
ELAIS-N1,2552536,243.87624,54.84446,0.6380,23.115
ELAIS-N1,3071050,242.91276,54.06486,0.4171,22.152
ELAIS-N1,1361406,244.72500,55.20370,0.7028,23.562
ELAIS-N1,2363284,240.92605,54.85644,0.6626,23.140
ELAIS-N1,2254355,243.10577,56.48217,0.8800,23.381
ELAIS-N1,412982,242.37521,54.90435,1.0888,23.938
ELAIS-N1,523392,244.50497,54.96424,0.9045,23.552
ELAIS-N1,2369911,241.32042,53.71649,0.4793,22.697
ELAIS-N1,1030800,240.98217,56.19579,0.7647,23.486
ELAIS-N1,291923,239.91590,54.82049,0.7526,23.271
ELAIS-N1,62262,242.59901,54.84446,0.7453,23.547
ELAIS-N1,3184910,241.21735,52.60899,0.4013,21.992
ELAIS-N1,1556858,239.15168,54.49685,0.8981,23.861
ELAIS-N1,1922180,240.96824,56.06446,0.8051,23.762
ELAIS-N1,1449586,241.54904,54.13690,0.5603,22.752
ELAIS-N1,627060,242.54114,54.01683,0.7685,23.527
ELAIS-N1,1884332,241.68874,53.15115,0.7137,23.200
ELAIS-N1,2041718,240.55859,56.07640,0.7084,23.441
ELAIS-N1,800866,242.13703,55.90919,0.6777,23.007
ELAIS-N1,184210,245.25522,55.00017,0.6725,23.009
ELAIS-N1,2573109,242.62500,55.20370,0.9957,23.760
