Source_Name,RA_deg,DEC_deg,Total_flux_mJy,Peak_flux_mJy
ILTJ162003.46+532801.5,245.01442,53.46709,1.1592,0.6105
ILTJ162001.40+531925.3,245.00584,53.32372,10.7088,1.0573
ILTJ162001.95+530753.8,245.00813,53.13163,1.1738,0.8001
ILTJ162002.70+533543.0,245.01127,53.59529,0.5760,0.4840
ILTJ162002.01+534012.3,245.00838,53.67010,0.6145,0.5482
ILTJ161957.55+530245.0,244.98980,53.04586,3.6305,0.9965
ILTJ161959.03+532731.4,244.99597,53.45875,0.8088,0.5591
ILTJ161957.68+531137.9,244.99035,53.19389,0.7097,0.6289
ILTJ161957.41+531918.6,244.98922,53.32185,1.1086,0.6877
ILTJ161958.03+533832.1,244.99178,53.64227,0.7191,0.5805
ILTJ161957.02+532752.9,244.98758,53.46471,1.0430,0.7745
ILTJ161956.23+531230.7,244.98428,53.20854,1.2914,1.1651
ILTJ161956.10+531320.3,244.98376,53.22231,1.3707,0.6748
ILTJ161956.04+531826.4,244.98350,53.30735,1.7235,1.4573
ILTJ161956.19+533438.3,244.98414,53.57731,0.8599,0.5004
ILTJ161953.19+532834.2,244.97164,53.47619,1.4193,0.7275
ILTJ161952.48+532855.7,244.96868,53.48216,1.3521,0.7557
ILTJ161952.74+533559.6,244.96974,53.59990,0.6991,0.6870
ILTJ161950.79+530540.1,244.96162,53.09447,0.7141,0.4163
ILTJ161948.99+534215.4,244.95411,53.70429,9.2631,3.1099
ILTJ161946.87+530826.8,244.94529,53.14078,0.9143,0.6191
ILTJ161947.43+533534.5,244.94764,53.59293,0.4666,0.5046
ILTJ161944.62+533456.1,244.93590,53.58226,172.9922,22.5048
ILTJ161945.94+532644.5,244.94141,53.44569,1.8992,1.0934
ILTJ161945.38+525931.2,244.93908,52.99201,0.4866,0.5338
ILTJ161945.03+530830.4,244.93764,53.14179,2.2717,1.3355
ILTJ161944.63+532351.5,244.93594,53.39766,0.9324,0.4936
ILTJ161944.92+533617.1,244.93716,53.60477,0.6287,0.5640
ILTJ161940.74+532811.8,244.91973,53.46995,280.9964,57.4725
ILTJ161942.46+533142.9,244.92690,53.52860,0.6327,0.4940
ILTJ161940.64+532550.6,244.91933,53.43072,8.6199,6.3761
ILTJ161937.39+525857.2,244.90580,52.98258,3.6021,1.9554
ILTJ161937.53+533623.7,244.90636,53.60661,5.0896,2.8038
ILTJ161937.75+534645.5,244.90731,53.77933,0.9438,0.7232
ILTJ161937.29+532332.2,244.90537,53.39230,0.8639,0.7171
ILTJ161935.58+530816.3,244.89827,53.13786,0.6528,0.5500
ILTJ161935.45+533316.7,244.89770,53.55465,1.3111,0.9363
ILTJ161934.26+533259.4,244.89275,53.54984,0.9097,0.6385
ILTJ161933.70+531734.8,244.89042,53.29300,1.3781,0.7160
ILTJ161931.88+532310.1,244.88282,53.38614,151.3719,63.8417
ILTJ161931.94+532035.7,244.88308,53.34326,1.7856,1.3143
ILTJ161931.42+525804.0,244.88092,52.96779,1.7908,1.2255
ILTJ161930.35+534806.7,244.87645,53.80188,0.5639,0.4736
ILTJ161928.90+532244.4,244.87042,53.37900,0.9504,0.6540
ILTJ161927.84+532725.6,244.86601,53.45711,6.1187,2.7925
ILTJ161928.14+535512.1,244.86727,53.92003,2.7806,0.9780
ILTJ161926.27+531705.5,244.85945,53.28487,4.4301,0.8323
ILTJ161920.53+525806.7,244.83552,52.96855,323.8477,46.0074
ILTJ161925.70+533408.1,244.85710,53.56892,2.7007,2.1778
