field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,409280,245.11961,55.58651,0.5910,22.510
ELAIS-N1,1339806,243.93634,52.56075,0.4812,22.604
ELAIS-N1,3166086,243.65391,54.20891,0.4546,22.499
ELAIS-N1,2646714,243.77202,54.41289,0.8409,23.265
ELAIS-N1,3237069,244.68129,53.17522,0.4687,21.979
ELAIS-N1,887461,239.36201,53.68043,0.7530,23.041
ELAIS-N1,925455,243.37149,53.99281,0.5661,22.662
ELAIS-N1,481715,243.38825,55.87335,0.1956,19.107
ELAIS-N1,2792396,244.12109,53.24744,0.4041,23.234
ELAIS-N1,2322784,243.63067,53.87270,0.7197,23.368
ELAIS-N1,2242183,244.29180,53.16318,0.4612,21.247
ELAIS-N1,2721416,243.84402,54.35291,0.5689,23.823
ELAIS-N1,3168637,243.09172,54.70066,0.6383,23.987
ELAIS-N1,3277007,241.38556,53.13911,0.3794,22.531
ELAIS-N1,1814715,244.95665,55.21567,0.6042,22.825
ELAIS-N1,1650078,242.11246,55.67019,0.4697,22.862
ELAIS-N1,515342,245.30784,53.39183,0.5908,23.923
ELAIS-N1,2485560,244.07255,54.65271,0.8684,23.986
ELAIS-N1,1555300,243.30580,52.70543,0.5098,21.381
ELAIS-N1,827010,242.40245,53.06687,0.4262,23.442
ELAIS-N1,2568103,241.15895,55.94503,0.2155,22.988
ELAIS-N1,1269885,242.35634,52.77775,0.4306,23.879
ELAIS-N1,1779678,241.22879,54.43688,0.6133,23.364
ELAIS-N1,2413444,239.47813,54.98820,0.4748,21.855
ELAIS-N1,1424341,239.46429,54.58078,0.5709,23.644
ELAIS-N1,2415313,245.20173,53.72851,0.4188,23.326
ELAIS-N1,1441557,242.25244,54.36491,0.7065,23.551
ELAIS-N1,803212,242.97972,53.93276,0.4914,23.476
ELAIS-N1,1548225,245.35023,54.02884,0.7673,21.981
ELAIS-N1,2219594,240.78898,53.10299,0.8469,22.890
ELAIS-N1,552306,244.11962,53.58426,0.4931,22.918
ELAIS-N1,1151808,242.05354,53.77658,0.1874,19.978
ELAIS-N1,866792,240.44297,55.84946,0.3889,23.962
ELAIS-N1,2945721,243.75000,55.92114,0.4320,23.936
ELAIS-N1,171205,240.82870,54.49685,0.3553,23.938
ELAIS-N1,1526872,240.45117,55.69410,0.2962,23.365
ELAIS-N1,1870942,242.46639,56.38673,0.3153,23.053
ELAIS-N1,2188247,243.83757,56.25547,0.3455,23.663
ELAIS-N1,1923127,241.65535,55.86140,0.2501,22.681
ELAIS-N1,613706,240.07661,55.95697,0.2976,23.484
ELAIS-N1,2831452,242.55879,54.97622,0.3688,23.802
ELAIS-N1,1293945,244.45208,53.64437,0.1574,21.771
ELAIS-N1,355494,238.89421,54.90435,0.3285,22.906
ELAIS-N1,1134510,240.00493,54.67669,0.5113,23.988
ELAIS-N1,2102933,243.47385,56.32707,0.4014,23.574
ELAIS-N1,1682593,245.11407,53.86068,0.4247,23.485
ELAIS-N1,624683,242.76916,53.30761,0.1928,22.535
ELAIS-N1,473373,244.61429,53.40386,0.1586,23.439
ELAIS-N1,975308,243.81124,52.99461,0.1993,22.351
ELAIS-N1,1537083,244.34662,54.47286,0.3578,23.913
ELAIS-N1,2948105,243.99420,56.00475,0.3292,23.232
ELAIS-N1,1874360,245.68416,55.07202,0.5129,23.428
ELAIS-N1,2539007,243.35489,53.16318,0.1975,22.459
ELAIS-N1,26352,240.43148,54.07687,0.3187,23.991
ELAIS-N1,1862256,240.69870,54.36491,0.4359,23.487
ELAIS-N1,2890571,240.85026,54.58078,0.2580,23.142
ELAIS-N1,2209776,242.92151,54.05285,0.4706,23.782
ELAIS-N1,2014610,240.97869,54.60476,0.4643,23.859
ELAIS-N1,2211210,243.69529,55.01215,0.2137,23.001
ELAIS-N1,1414177,245.36127,53.83666,0.3180,23.183
ELAIS-N1,2096303,242.64526,55.88530,0.2891,23.916
ELAIS-N1,547542,242.15572,53.21133,0.5388,23.600
ELAIS-N1,890533,245.12019,53.76456,0.2725,22.292
ELAIS-N1,1702268,245.23033,55.51476,0.3882,23.830
ELAIS-N1,1193893,244.17034,55.76581,0.5671,23.876
ELAIS-N1,173670,239.31414,54.72463,0.4380,23.628
ELAIS-N1,2437036,242.87570,54.71264,0.5158,23.740
ELAIS-N1,2819053,243.47235,52.78980,0.3992,22.880
ELAIS-N1,3132090,241.80238,54.95227,0.4744,23.622
ELAIS-N1,2551610,244.07545,54.14890,0.2726,23.446
ELAIS-N1,3196622,243.87867,52.72954,0.4561,23.738
