id,type,z,host_Z,p_sn,p_host,host_target,host_visits_needed_pfs,host_hours_needed_desi,host_hours_done,observed,host_completed
2088,Ia,0.81593,24.975,1,1,1,91,382.2,14.0,0,0
2089,Ia,0.51403,20.477,1,1,1,1,4.2,4.0,0,0
2090,Ia,0.82605,24.634,5,5,1,49,205.8,4.0,0,0
2091,Ia,0.41333,25.886,1,1,0,-1,-1.0,0.0,0,0
2092,Ia,0.65063,21.332,0,0,1,1,4.2,6.0,0,1
2093,Ia,0.51480,26.673,0,0,0,-1,-1.0,0.0,0,0
2094,Ia,0.97288,21.273,4,4,1,1,4.2,4.0,0,0
2095,Ia,0.82371,26.545,3,3,0,-1,-1.0,0.0,0,0
2096,Ia,0.81766,22.571,2,2,1,2,8.4,2.0,0,0
2097,Ia,0.38797,21.048,0,0,1,1,4.2,2.0,1,0
2098,Ia,0.55465,20.913,2,2,1,1,4.2,6.0,0,1
2099,Ia,0.64916,26.500,0,0,0,-1,-1.0,0.0,0,0
2100,Ia,0.32492,19.623,-1,-1,1,1,4.2,0.0,0,0
2101,Ia,0.92699,23.757,5,5,1,10,42.0,14.0,1,0
2102,Ia,1.04837,22.543,1,1,1,2,8.4,10.0,0,1
2103,Ia,0.81340,22.181,5,5,1,1,4.2,4.0,0,0
2104,Ia,0.68823,23.133,0,0,1,4,16.8,8.0,1,0
2105,Ia,0.66324,22.726,3,3,1,2,8.4,10.0,0,1
2106,Ia,0.30531,999.000,1,-1,0,-1,-1.0,0.0,0,0
2107,Ia,0.86212,20.389,3,3,1,1,4.2,6.0,0,1
2108,Ia,0.54441,21.835,3,3,1,1,4.2,4.0,1,0
2109,Ia,0.74681,23.547,1,1,1,7,29.4,0.0,0,0
2110,Ia,0.58055,19.899,1,1,1,1,4.2,4.0,0,0
2111,Ia,0.47565,22.011,2,2,1,1,4.2,4.0,1,0
2112,Ia,0.43762,19.888,1,1,1,1,4.2,6.0,0,1
2113,Ia,0.44816,22.481,1,1,1,1,4.2,0.0,0,0
2114,Ia,0.70091,21.660,2,2,1,1,4.2,6.0,1,1
2115,Ia,0.60703,26.917,0,0,0,-1,-1.0,0.0,0,0
2116,Ia,0.36067,21.849,3,3,1,1,4.2,6.0,1,1
2117,Ia,0.68103,22.984,1,1,1,3,12.6,14.0,0,1
2118,Ia,0.90731,23.034,1,1,1,3,12.6,8.0,0,0
2119,Ia,0.26008,22.290,0,0,1,1,4.2,4.0,0,0
2120,Ia,0.56049,999.000,-1,-1,0,-1,-1.0,0.0,0,0
2121,Ia,1.03282,22.010,4,4,1,1,4.2,4.0,1,0
2122,Ia,0.47858,23.566,2,2,1,7,29.4,10.0,1,0
2123,Ia,0.87867,26.347,5,5,0,-1,-1.0,0.0,0,0
2124,Ia,0.93183,23.316,2,2,1,5,21.0,18.0,0,0
2125,Ia,0.44987,19.824,3,3,1,1,4.2,6.0,1,1
2126,Ia,0.84878,21.008,5,5,1,1,4.2,6.0,1,1
2127,Ia,0.64715,20.045,2,2,1,1,4.2,6.0,0,1
2128,Ia,0.39630,999.000,3,-1,0,-1,-1.0,0.0,0,0
2129,Ia,0.79902,21.116,5,5,1,1,4.2,4.0,0,0
2130,Ia,0.57970,21.818,4,4,1,1,4.2,6.0,1,1
2131,Ia,0.85653,23.562,3,3,1,7,29.4,0.0,0,0
2132,Ia,0.82650,22.063,5,5,1,1,4.2,4.0,0,0
2133,Ia,0.63014,22.093,5,5,1,1,4.2,6.0,1,1
2134,Ia,0.60352,22.672,4,4,1,2,8.4,4.0,0,0
2135,Ia,0.64424,21.051,3,3,1,1,4.2,2.0,0,0
2136,Ia,0.38784,999.000,5,-1,0,-1,-1.0,0.0,1,0
2137,Ia,0.98617,22.136,5,5,1,1,4.2,4.0,0,0
2138,Ia,0.86218,22.045,0,0,1,1,4.2,6.0,0,1
2139,Ia,0.65557,21.440,0,0,1,1,4.2,6.0,1,1
2140,Ia,0.64615,23.346,0,0,1,5,21.0,18.0,0,0
2141,Ia,0.31886,18.625,4,4,1,1,4.2,0.0,0,0
2142,Ia,0.80581,20.669,-1,-1,1,1,4.2,0.0,0,0
2143,Ia,1.02689,23.102,1,1,1,3,12.6,0.0,0,0
2144,Ia,0.90657,21.712,2,2,1,1,4.2,6.0,0,1
2145,Ia,1.03997,22.754,4,4,1,2,8.4,2.0,0,0
2146,Ia,0.53657,21.740,3,3,1,1,4.2,6.0,0,1
2147,Ia,0.69638,22.001,2,2,1,1,4.2,6.0,0,1
2148,Ia,0.82798,22.582,5,5,1,2,8.4,10.0,0,1
2149,Ia,0.53166,21.194,3,3,1,1,4.2,6.0,0,1
2150,Ia,0.97746,26.238,0,0,0,-1,-1.0,0.0,0,0
2151,Ia,1.06223,21.497,2,2,1,1,4.2,6.0,0,1
2152,Ia,0.97123,23.331,2,2,1,5,21.0,18.0,0,0
2153,Ia,0.06413,24.535,3,3,1,41,172.2,0.0,0,0
